PING 10.4.1.20 (10.4.1.20) 56(84) bytes of data.
64 bytes from 10.4.1.20: icmp_seq=1 ttl=63 time=2.43 ms
64 bytes from 10.4.1.20: icmp_seq=2 ttl=63 time=2.96 ms
64 bytes from 10.4.1.20: icmp_seq=3 ttl=63 time=2.34 ms
64 bytes from 10.4.1.20: icmp_seq=4 ttl=63 time=2.40 ms
64 bytes from 10.4.1.20: icmp_seq=5 ttl=63 time=2.49 ms
64 bytes from 10.4.1.20: icmp_seq=6 ttl=63 time=2.35 ms
64 bytes from 10.4.1.20: icmp_seq=7 ttl=63 time=2.44 ms
64 bytes from 10.4.1.20: icmp_seq=8 ttl=63 time=2.81 ms
64 bytes from 10.4.1.20: icmp_seq=9 ttl=63 time=2.76 ms
64 bytes from 10.4.1.20: icmp_seq=10 ttl=63 time=2.42 ms
64 bytes from 10.4.1.20: icmp_seq=11 ttl=63 time=2.35 ms
64 bytes from 10.4.1.20: icmp_seq=12 ttl=63 time=2.49 ms
64 bytes from 10.4.1.20: icmp_seq=13 ttl=63 time=3.30 ms
64 bytes from 10.4.1.20: icmp_seq=14 ttl=63 time=2.38 ms
64 bytes from 10.4.1.20: icmp_seq=15 ttl=63 time=2.30 ms
64 bytes from 10.4.1.20: icmp_seq=16 ttl=63 time=2.35 ms
64 bytes from 10.4.1.20: icmp_seq=17 ttl=63 time=2.37 ms
64 bytes from 10.4.1.20: icmp_seq=18 ttl=63 time=2.67 ms
64 bytes from 10.4.1.20: icmp_seq=19 ttl=63 time=2.76 ms
64 bytes from 10.4.1.20: icmp_seq=20 ttl=63 time=2.36 ms
64 bytes from 10.4.1.20: icmp_seq=21 ttl=63 time=2.98 ms
64 bytes from 10.4.1.20: icmp_seq=22 ttl=63 time=2.97 ms
64 bytes from 10.4.1.20: icmp_seq=23 ttl=63 time=2.60 ms
64 bytes from 10.4.1.20: icmp_seq=24 ttl=63 time=2.41 ms
64 bytes from 10.4.1.20: icmp_seq=25 ttl=63 time=2.37 ms
64 bytes from 10.4.1.20: icmp_seq=26 ttl=63 time=2.28 ms
64 bytes from 10.4.1.20: icmp_seq=27 ttl=63 time=2.54 ms
64 bytes from 10.4.1.20: icmp_seq=28 ttl=63 time=2.92 ms
64 bytes from 10.4.1.20: icmp_seq=29 ttl=63 time=2.29 ms
64 bytes from 10.4.1.20: icmp_seq=30 ttl=63 time=2.41 ms
64 bytes from 10.4.1.20: icmp_seq=31 ttl=63 time=2.90 ms
64 bytes from 10.4.1.20: icmp_seq=32 ttl=63 time=2.92 ms
64 bytes from 10.4.1.20: icmp_seq=33 ttl=63 time=2.96 ms
64 bytes from 10.4.1.20: icmp_seq=34 ttl=63 time=2.69 ms
64 bytes from 10.4.1.20: icmp_seq=35 ttl=63 time=3.17 ms
64 bytes from 10.4.1.20: icmp_seq=36 ttl=63 time=2.36 ms
64 bytes from 10.4.1.20: icmp_seq=37 ttl=63 time=2.37 ms
64 bytes from 10.4.1.20: icmp_seq=38 ttl=63 time=2.46 ms
64 bytes from 10.4.1.20: icmp_seq=39 ttl=63 time=2.43 ms
64 bytes from 10.4.1.20: icmp_seq=40 ttl=63 time=3.01 ms
64 bytes from 10.4.1.20: icmp_seq=41 ttl=63 time=2.97 ms
64 bytes from 10.4.1.20: icmp_seq=42 ttl=63 time=2.44 ms
64 bytes from 10.4.1.20: icmp_seq=43 ttl=63 time=2.30 ms
64 bytes from 10.4.1.20: icmp_seq=44 ttl=63 time=2.50 ms
64 bytes from 10.4.1.20: icmp_seq=45 ttl=63 time=2.36 ms
64 bytes from 10.4.1.20: icmp_seq=46 ttl=63 time=3.05 ms
64 bytes from 10.4.1.20: icmp_seq=47 ttl=63 time=2.46 ms
64 bytes from 10.4.1.20: icmp_seq=48 ttl=63 time=2.32 ms
64 bytes from 10.4.1.20: icmp_seq=49 ttl=63 time=2.76 ms
64 bytes from 10.4.1.20: icmp_seq=50 ttl=63 time=3.21 ms
64 bytes from 10.4.1.20: icmp_seq=51 ttl=63 time=2.87 ms
64 bytes from 10.4.1.20: icmp_seq=52 ttl=63 time=2.57 ms
64 bytes from 10.4.1.20: icmp_seq=53 ttl=63 time=2.78 ms
64 bytes from 10.4.1.20: icmp_seq=54 ttl=63 time=3.16 ms
64 bytes from 10.4.1.20: icmp_seq=55 ttl=63 time=2.36 ms
64 bytes from 10.4.1.20: icmp_seq=56 ttl=63 time=2.79 ms
64 bytes from 10.4.1.20: icmp_seq=57 ttl=63 time=2.33 ms
64 bytes from 10.4.1.20: icmp_seq=58 ttl=63 time=2.43 ms

--- 10.4.1.20 ping statistics ---
58 packets transmitted, 58 received, 0% packet loss, time 62250ms
rtt min/avg/max/mdev = 2.280/2.610/3.295/0.284 ms
